sample_id,cell_id,x_loc,y_loc,patch_id,patch_size,sim_id,master_seed,step,step_label,grid_size,ac_amount,fragmentation,samp_method,species_id,n
1,1601,33,1,1,2499,"25326647",123,0,"start",50,0.7,NA,"random",186,1
1,1601,33,1,1,2499,"25326647",123,0,"start",50,0.7,NA,"random",218,1
2,1477,30,27,1,2499,"25326647",123,0,"start",50,0.7,NA,"random",696,1
3,1128,23,28,1,2499,"25326647",123,0,"start",50,0.7,NA,"random",575,1
3,1128,23,28,1,2499,"25326647",123,0,"start",50,0.7,NA,"random",592,1
3,1128,23,28,1,2499,"25326647",123,0,"start",50,0.7,NA,"random",697,1
3,1128,23,28,1,2499,"25326647",123,0,"start",50,0.7,NA,"random",709,1
4,771,16,21,1,2499,"25326647",123,0,"start",50,0.7,NA,"random",750,1
4,771,16,21,1,2499,"25326647",123,0,"start",50,0.7,NA,"random",775,1
4,771,16,21,1,2499,"25326647",123,0,"start",50,0.7,NA,"random",800,1
4,771,16,21,1,2499,"25326647",123,0,"start",50,0.7,NA,"random",806,1
4,771,16,21,1,2499,"25326647",123,0,"start",50,0.7,NA,"random",845,1
4,771,16,21,1,2499,"25326647",123,0,"start",50,0.7,NA,"random",846,1
5,884,18,34,1,2499,"25326647",123,0,"start",50,0.7,NA,"random",375,1
5,884,18,34,1,2499,"25326647",123,0,"start",50,0.7,NA,"random",561,1
6,386,8,36,1,2499,"25326647",123,0,"start",50,0.7,NA,"random",555,1
6,386,8,36,1,2499,"25326647",123,0,"start",50,0.7,NA,"random",599,1
7,383,8,33,1,2499,"25326647",123,0,"start",50,0.7,NA,"random",675,1
8,648,13,48,1,2499,"25326647",123,0,"start",50,0.7,NA,"random",NA,NA
9,779,16,29,1,2499,"25326647",123,0,"start",50,0.7,NA,"random",762,1
10,1933,39,33,1,2499,"25326647",123,0,"start",50,0.7,NA,"random",NA,NA
11,2136,43,36,1,2499,"25326647",123,0,"start",50,0.7,NA,"random",371,1
12,1188,24,38,1,2499,"25326647",123,0,"start",50,0.7,NA,"random",149,1
12,1188,24,38,1,2499,"25326647",123,0,"start",50,0.7,NA,"random",265,1
13,2420,49,20,1,2499,"25326647",123,0,"start",50,0.7,NA,"random",550,1
13,2420,49,20,1,2499,"25326647",123,0,"start",50,0.7,NA,"random",571,1
13,2420,49,20,1,2499,"25326647",123,0,"start",50,0.7,NA,"random",616,1
13,2420,49,20,1,2499,"25326647",123,0,"start",50,0.7,NA,"random",636,1
14,2137,43,37,1,2499,"25326647",123,0,"start",50,0.7,NA,"random",297,1
15,2382,48,32,1,2499,"25326647",123,0,"start",50,0.7,NA,"random",493,1
15,2382,48,32,1,2499,"25326647",123,0,"start",50,0.7,NA,"random",550,1
16,1626,33,26,1,2499,"25326647",123,0,"start",50,0.7,NA,"random",NA,NA
17,1003,21,3,1,2499,"25326647",123,0,"start",50,0.7,NA,"random",180,1
17,1003,21,3,1,2499,"25326647",123,0,"start",50,0.7,NA,"random",253,1
17,1003,21,3,1,2499,"25326647",123,0,"start",50,0.7,NA,"random",295,1
17,1003,21,3,1,2499,"25326647",123,0,"start",50,0.7,NA,"random",297,1
18,1106,23,6,1,2499,"25326647",123,0,"start",50,0.7,NA,"random",231,1
18,1106,23,6,1,2499,"25326647",123,0,"start",50,0.7,NA,"random",283,1
19,946,19,46,1,2499,"25326647",123,0,"start",50,0.7,NA,"random",10,1
19,946,19,46,1,2499,"25326647",123,0,"start",50,0.7,NA,"random",32,1
19,946,19,46,1,2499,"25326647",123,0,"start",50,0.7,NA,"random",44,1
20,1851,38,1,1,2499,"25326647",123,0,"start",50,0.7,NA,"random",258,1
21,70,2,20,1,2499,"25326647",123,0,"start",50,0.7,NA,"random",742,1
21,70,2,20,1,2499,"25326647",123,0,"start",50,0.7,NA,"random",788,1
21,70,2,20,1,2499,"25326647",123,0,"start",50,0.7,NA,"random",813,1
21,70,2,20,1,2499,"25326647",123,0,"start",50,0.7,NA,"random",818,1
22,2259,46,9,1,2499,"25326647",123,0,"start",50,0.7,NA,"random",533,1
23,77,2,27,1,2499,"25326647",123,0,"start",50,0.7,NA,"random",605,1
24,887,18,37,1,2499,"25326647",123,0,"start",50,0.7,NA,"random",NA,NA
25,1502,31,2,1,2499,"25326647",123,0,"start",50,0.7,NA,"random",95,1
25,1502,31,2,1,2499,"25326647",123,0,"start",50,0.7,NA,"random",126,1
25,1502,31,2,1,2499,"25326647",123,0,"start",50,0.7,NA,"random",130,1
25,1502,31,2,1,2499,"25326647",123,0,"start",50,0.7,NA,"random",176,2
25,1502,31,2,1,2499,"25326647",123,0,"start",50,0.7,NA,"random",193,1
25,1502,31,2,1,2499,"25326647",123,0,"start",50,0.7,NA,"random",196,1
25,1502,31,2,1,2499,"25326647",123,0,"start",50,0.7,NA,"random",239,1
25,1502,31,2,1,2499,"25326647",123,0,"start",50,0.7,NA,"random",267,1
26,782,16,32,1,2499,"25326647",123,0,"start",50,0.7,NA,"random",600,1
26,782,16,32,1,2499,"25326647",123,0,"start",50,0.7,NA,"random",635,1
26,782,16,32,1,2499,"25326647",123,0,"start",50,0.7,NA,"random",689,1
27,311,7,11,1,2499,"25326647",123,0,"start",50,0.7,NA,"random",580,1
27,311,7,11,1,2499,"25326647",123,0,"start",50,0.7,NA,"random",717,1
27,311,7,11,1,2499,"25326647",123,0,"start",50,0.7,NA,"random",730,1
28,1397,28,47,1,2499,"25326647",123,0,"start",50,0.7,NA,"random",97,1
28,1397,28,47,1,2499,"25326647",123,0,"start",50,0.7,NA,"random",99,1
28,1397,28,47,1,2499,"25326647",123,0,"start",50,0.7,NA,"random",110,1
28,1397,28,47,1,2499,"25326647",123,0,"start",50,0.7,NA,"random",148,1
28,1397,28,47,1,2499,"25326647",123,0,"start",50,0.7,NA,"random",195,1
28,1397,28,47,1,2499,"25326647",123,0,"start",50,0.7,NA,"random",200,1
29,1710,35,10,1,2499,"25326647",123,0,"start",50,0.7,NA,"random",393,1
29,1710,35,10,1,2499,"25326647",123,0,"start",50,0.7,NA,"random",456,1
30,457,10,7,1,2499,"25326647",123,0,"start",50,0.7,NA,"random",605,1
1,917,19,17,1,2499,"25326647",123,40,"pre_fragmentation",50,0.7,NA,"random",503,1
1,917,19,17,1,2499,"25326647",123,40,"pre_fragmentation",50,0.7,NA,"random",524,1
1,917,19,17,1,2499,"25326647",123,40,"pre_fragmentation",50,0.7,NA,"random",552,1
1,917,19,17,1,2499,"25326647",123,40,"pre_fragmentation",50,0.7,NA,"random",553,1
1,917,19,17,1,2499,"25326647",123,40,"pre_fragmentation",50,0.7,NA,"random",558,6
1,917,19,17,1,2499,"25326647",123,40,"pre_fragmentation",50,0.7,NA,"random",572,3
1,917,19,17,1,2499,"25326647",123,40,"pre_fragmentation",50,0.7,NA,"random",573,2
1,917,19,17,1,2499,"25326647",123,40,"pre_fragmentation",50,0.7,NA,"random",577,1
