run,step,sim_id,state_mode,probe_mode,n_trials,p_birth,p_habitat_given_birth,p_niche_given_habitat,p_capacity_given_niche,p_establish,death_rate,net_per_capita,mean_surv_prob_landed,p_same_cell_given_birth
short,start,250,short_long,short_long,20000,0.8474,1,0.387951380693887,1,0.32875,0.25,0.07875,0.396589350930915,0.249527967901817
short,start,250,short_long,random,20000,0.844,1,0.246267772511848,1,0.20785,0.25,-0.04215,0.246022495716858,0.000296208530805687
short,pre_fragmentation,250,short_long,short_long,20000,0.84775,1,0.583603656738425,1,0.49475,0.25,0.24475,0.584389464155418,0.251607195517546
short,pre_fragmentation,250,short_long,random,20000,0.8477,1,0.513566120089655,1,0.43535,0.25,0.18535,0.50995322286195,0.000530848177421257
short,post_fragmentation,250,short_long,short_long,20000,0.8483,0.860544618649063,0.592534246575343,1,0.43255,0.25,0.18255,0.597922020854128,0.250265236355063
short,post_fragmentation,250,short_long,random,20000,0.8445,1,0.515926583777383,1,0.4357,0.25,0.1857,0.517796301231287,0.00242747187685021
short,final,250,short_long,short_long,20000,0.8478,0.86582920500118,0.598324364825284,1,0.4392,0.25,0.1892,0.603353111066607,0.250058976173626
short,final,250,short_long,random,20000,0.84385,1,0.521301179119512,1,0.4399,0.25,0.1899,0.523251893134578,0.00296261183859691
random,start,358,random,short_long,20000,0.84755,1,0.393251135626217,0.973597359735974,0.3245,0.25,0.0745,0.393637956921573,0.249424812695416
random,start,358,random,random,20000,0.84375,1,0.247407407407407,0.998323353293413,0.2084,0.25,-0.0416,0.247678665453009,0.000474074074074074
random,pre_fragmentation,358,random,short_long,20000,0.84645,1,0.613916947250281,1,0.51965,0.25,0.26965,0.611535040746431,0.250339653848426
random,pre_fragmentation,358,random,random,20000,0.84595,1,0.554938235120279,1,0.46945,0.25,0.21945,0.555384132969163,0.000591051480583959
random,post_fragmentation,358,random,short_long,20000,0.8475,0.860058997050148,0.612223899025929,1,0.44625,0.25,0.19625,0.615037874438001,0.250914454277286
random,post_fragmentation,358,random,random,20000,0.84355,1,0.553731254815956,1,0.4671,0.25,0.2171,0.554993135036265,0.00243020567838302
random,final,358,random,short_long,20000,0.84815,0.854212108707186,0.609178743961353,1,0.44135,0.25,0.19135,0.61571894176876,0.250132641631787
random,final,358,random,random,20000,0.84375,1,0.558755555555556,1,0.47145,0.25,0.22145,0.561038327734265,0.00183703703703704
