sim_id,job_id,scenario_key,replicate_num,run_date,project_version,master_seed,ac_amount,fragmentation,habitat,niche_breadth,dispersal_type,dispersal_kernel,dispersal_ratio,dispersal_dist,edge_effect,status,state_file,sampled_files
0001,recovered,ac0.1_hab0.15_frag0.2_edge1_disp2,001,2026-05-22,1.2,113,0.1,0.2,0.15,0.1,short_long,exponential,1,2,1,complete,output/model_states/0001_ac0.1_hab0.15_frag0.2_edge1_disp2_r001.rds,output/sampled_data/0001_ac0.1_hab0.15_frag0.2_edge1_disp2_r001_all.csv; output/sampled_data/0001_ac0.1_hab0.15_frag0.2_edge1_disp2_r001_cb.csv; output/sampled_data/0001_ac0.1_hab0.15_frag0.2_edge1_disp2_r001_rand.csv
0002,recovered,ac0.1_hab0.15_frag0.5_edge1_disp2,001,2026-05-22,1.2,114,0.1,0.5,0.15,0.1,short_long,exponential,1,2,1,complete,output/model_states/0002_ac0.1_hab0.15_frag0.5_edge1_disp2_r001.rds,output/sampled_data/0002_ac0.1_hab0.15_frag0.5_edge1_disp2_r001_all.csv; output/sampled_data/0002_ac0.1_hab0.15_frag0.5_edge1_disp2_r001_cb.csv; output/sampled_data/0002_ac0.1_hab0.15_frag0.5_edge1_disp2_r001_rand.csv
0003,recovered,ac0.1_hab0.15_frag0.8_edge1_disp2,001,2026-05-22,1.2,115,0.1,0.8,0.15,0.1,short_long,exponential,1,2,1,complete,output/model_states/0003_ac0.1_hab0.15_frag0.8_edge1_disp2_r001.rds,output/sampled_data/0003_ac0.1_hab0.15_frag0.8_edge1_disp2_r001_all.csv; output/sampled_data/0003_ac0.1_hab0.15_frag0.8_edge1_disp2_r001_cb.csv; output/sampled_data/0003_ac0.1_hab0.15_frag0.8_edge1_disp2_r001_rand.csv
0004,recovered,ac0.3_hab0.15_frag0.2_edge1_disp2,001,2026-05-22,1.2,116,0.3,0.2,0.15,0.1,short_long,exponential,1,2,1,complete,output/model_states/0004_ac0.3_hab0.15_frag0.2_edge1_disp2_r001.rds,output/sampled_data/0004_ac0.3_hab0.15_frag0.2_edge1_disp2_r001_all.csv; output/sampled_data/0004_ac0.3_hab0.15_frag0.2_edge1_disp2_r001_cb.csv; output/sampled_data/0004_ac0.3_hab0.15_frag0.2_edge1_disp2_r001_rand.csv
0005,recovered,ac0.3_hab0.15_frag0.5_edge1_disp2,001,2026-05-22,1.2,117,0.3,0.5,0.15,0.1,short_long,exponential,1,2,1,complete,output/model_states/0005_ac0.3_hab0.15_frag0.5_edge1_disp2_r001.rds,output/sampled_data/0005_ac0.3_hab0.15_frag0.5_edge1_disp2_r001_all.csv; output/sampled_data/0005_ac0.3_hab0.15_frag0.5_edge1_disp2_r001_cb.csv; output/sampled_data/0005_ac0.3_hab0.15_frag0.5_edge1_disp2_r001_rand.csv
0006,recovered,ac0.3_hab0.15_frag0.8_edge1_disp2,001,2026-05-22,1.2,118,0.3,0.8,0.15,0.1,short_long,exponential,1,2,1,complete,output/model_states/0006_ac0.3_hab0.15_frag0.8_edge1_disp2_r001.rds,output/sampled_data/0006_ac0.3_hab0.15_frag0.8_edge1_disp2_r001_all.csv; output/sampled_data/0006_ac0.3_hab0.15_frag0.8_edge1_disp2_r001_cb.csv; output/sampled_data/0006_ac0.3_hab0.15_frag0.8_edge1_disp2_r001_rand.csv
0007,recovered,ac0.5_hab0.15_frag0.2_edge1_disp2,001,2026-05-22,1.2,119,0.5,0.2,0.15,0.1,short_long,exponential,1,2,1,complete,output/model_states/0007_ac0.5_hab0.15_frag0.2_edge1_disp2_r001.rds,output/sampled_data/0007_ac0.5_hab0.15_frag0.2_edge1_disp2_r001_all.csv; output/sampled_data/0007_ac0.5_hab0.15_frag0.2_edge1_disp2_r001_cb.csv; output/sampled_data/0007_ac0.5_hab0.15_frag0.2_edge1_disp2_r001_rand.csv
0008,recovered,ac0.5_hab0.15_frag0.5_edge1_disp2,001,2026-05-22,1.2,120,0.5,0.5,0.15,0.1,short_long,exponential,1,2,1,complete,output/model_states/0008_ac0.5_hab0.15_frag0.5_edge1_disp2_r001.rds,output/sampled_data/0008_ac0.5_hab0.15_frag0.5_edge1_disp2_r001_all.csv; output/sampled_data/0008_ac0.5_hab0.15_frag0.5_edge1_disp2_r001_cb.csv; output/sampled_data/0008_ac0.5_hab0.15_frag0.5_edge1_disp2_r001_rand.csv
0009,recovered,ac0.5_hab0.15_frag0.8_edge1_disp2,001,2026-05-22,1.2,121,0.5,0.8,0.15,0.1,short_long,exponential,1,2,1,complete,output/model_states/0009_ac0.5_hab0.15_frag0.8_edge1_disp2_r001.rds,output/sampled_data/0009_ac0.5_hab0.15_frag0.8_edge1_disp2_r001_all.csv; output/sampled_data/0009_ac0.5_hab0.15_frag0.8_edge1_disp2_r001_cb.csv; output/sampled_data/0009_ac0.5_hab0.15_frag0.8_edge1_disp2_r001_rand.csv
0010,recovered,ac0.7_hab0.15_frag0.2_edge1_disp2,001,2026-05-22,1.2,122,0.7,0.2,0.15,0.1,short_long,exponential,1,2,1,complete,output/model_states/0010_ac0.7_hab0.15_frag0.2_edge1_disp2_r001.rds,output/sampled_data/0010_ac0.7_hab0.15_frag0.2_edge1_disp2_r001_all.csv; output/sampled_data/0010_ac0.7_hab0.15_frag0.2_edge1_disp2_r001_cb.csv; output/sampled_data/0010_ac0.7_hab0.15_frag0.2_edge1_disp2_r001_rand.csv
0011,recovered,ac0.7_hab0.15_frag0.5_edge1_disp2,001,2026-05-22,1.2,123,0.7,0.5,0.15,0.1,short_long,exponential,1,2,1,complete,output/model_states/0011_ac0.7_hab0.15_frag0.5_edge1_disp2_r001.rds,output/sampled_data/0011_ac0.7_hab0.15_frag0.5_edge1_disp2_r001_all.csv; output/sampled_data/0011_ac0.7_hab0.15_frag0.5_edge1_disp2_r001_cb.csv; output/sampled_data/0011_ac0.7_hab0.15_frag0.5_edge1_disp2_r001_rand.csv
0012,recovered,ac0.7_hab0.15_frag0.8_edge1_disp2,001,2026-05-22,1.2,124,0.7,0.8,0.15,0.1,short_long,exponential,1,2,1,complete,output/model_states/0012_ac0.7_hab0.15_frag0.8_edge1_disp2_r001.rds,output/sampled_data/0012_ac0.7_hab0.15_frag0.8_edge1_disp2_r001_all.csv; output/sampled_data/0012_ac0.7_hab0.15_frag0.8_edge1_disp2_r001_cb.csv; output/sampled_data/0012_ac0.7_hab0.15_frag0.8_edge1_disp2_r001_rand.csv
0013,recovered,ac0.9_hab0.15_frag0.2_edge1_disp2,001,2026-05-22,1.2,125,0.9,0.2,0.15,0.1,short_long,exponential,1,2,1,complete,output/model_states/0013_ac0.9_hab0.15_frag0.2_edge1_disp2_r001.rds,output/sampled_data/0013_ac0.9_hab0.15_frag0.2_edge1_disp2_r001_all.csv; output/sampled_data/0013_ac0.9_hab0.15_frag0.2_edge1_disp2_r001_cb.csv; output/sampled_data/0013_ac0.9_hab0.15_frag0.2_edge1_disp2_r001_rand.csv
0014,recovered,ac0.9_hab0.15_frag0.5_edge1_disp2,001,2026-05-22,1.2,126,0.9,0.5,0.15,0.1,short_long,exponential,1,2,1,complete,output/model_states/0014_ac0.9_hab0.15_frag0.5_edge1_disp2_r001.rds,output/sampled_data/0014_ac0.9_hab0.15_frag0.5_edge1_disp2_r001_all.csv; output/sampled_data/0014_ac0.9_hab0.15_frag0.5_edge1_disp2_r001_cb.csv; output/sampled_data/0014_ac0.9_hab0.15_frag0.5_edge1_disp2_r001_rand.csv
