sample_id,cell_id,x_loc,y_loc,patch_id,patch_size,sim_id,master_seed,step,step_label,grid_size,ac_amount,fragmentation,samp_method,species_id,n,replicate_num
1,37,1,37,2,4,"0021",875,40,"post_fragmentation",50,0.7,0.8,"chessboard",358,2,2
1,37,1,37,2,4,"0021",875,40,"post_fragmentation",50,0.7,0.8,"chessboard",373,1,2
1,37,1,37,2,4,"0021",875,40,"post_fragmentation",50,0.7,0.8,"chessboard",406,3,2
1,37,1,37,2,4,"0021",875,40,"post_fragmentation",50,0.7,0.8,"chessboard",413,2,2
1,37,1,37,2,4,"0021",875,40,"post_fragmentation",50,0.7,0.8,"chessboard",419,1,2
1,37,1,37,2,4,"0021",875,40,"post_fragmentation",50,0.7,0.8,"chessboard",430,1,2
1,37,1,37,2,4,"0021",875,40,"post_fragmentation",50,0.7,0.8,"chessboard",436,3,2
1,37,1,37,2,4,"0021",875,40,"post_fragmentation",50,0.7,0.8,"chessboard",444,1,2
1,37,1,37,2,4,"0021",875,40,"post_fragmentation",50,0.7,0.8,"chessboard",446,3,2
1,37,1,37,2,4,"0021",875,40,"post_fragmentation",50,0.7,0.8,"chessboard",461,1,2
1,37,1,37,2,4,"0021",875,40,"post_fragmentation",50,0.7,0.8,"chessboard",462,3,2
1,37,1,37,2,4,"0021",875,40,"post_fragmentation",50,0.7,0.8,"chessboard",476,2,2
1,37,1,37,2,4,"0021",875,40,"post_fragmentation",50,0.7,0.8,"chessboard",478,1,2
1,37,1,37,2,4,"0021",875,40,"post_fragmentation",50,0.7,0.8,"chessboard",489,1,2
1,37,1,37,2,4,"0021",875,40,"post_fragmentation",50,0.7,0.8,"chessboard",490,2,2
1,37,1,37,2,4,"0021",875,40,"post_fragmentation",50,0.7,0.8,"chessboard",493,1,2
1,37,1,37,2,4,"0021",875,40,"post_fragmentation",50,0.7,0.8,"chessboard",494,2,2
1,37,1,37,2,4,"0021",875,40,"post_fragmentation",50,0.7,0.8,"chessboard",499,1,2
1,37,1,37,2,4,"0021",875,40,"post_fragmentation",50,0.7,0.8,"chessboard",506,1,2
1,37,1,37,2,4,"0021",875,40,"post_fragmentation",50,0.7,0.8,"chessboard",517,1,2
1,37,1,37,2,4,"0021",875,40,"post_fragmentation",50,0.7,0.8,"chessboard",520,1,2
1,37,1,37,2,4,"0021",875,40,"post_fragmentation",50,0.7,0.8,"chessboard",525,1,2
1,37,1,37,2,4,"0021",875,40,"post_fragmentation",50,0.7,0.8,"chessboard",622,1,2
2,52,2,2,1,2,"0021",875,40,"post_fragmentation",50,0.7,0.8,"chessboard",389,1,2
