sample_id,cell_id,x_loc,y_loc,patch_id,patch_size,sim_id,master_seed,step,step_label,grid_size,ac_amount,fragmentation,samp_method,species_id,n,replicate_num
1,11,1,11,1,3,"0030",884,40,"post_fragmentation",50,0.7,0.8,"all",33,1,2
1,11,1,11,1,3,"0030",884,40,"post_fragmentation",50,0.7,0.8,"all",39,1,2
1,11,1,11,1,3,"0030",884,40,"post_fragmentation",50,0.7,0.8,"all",63,1,2
1,11,1,11,1,3,"0030",884,40,"post_fragmentation",50,0.7,0.8,"all",70,1,2
1,11,1,11,1,3,"0030",884,40,"post_fragmentation",50,0.7,0.8,"all",88,1,2
1,11,1,11,1,3,"0030",884,40,"post_fragmentation",50,0.7,0.8,"all",90,1,2
1,11,1,11,1,3,"0030",884,40,"post_fragmentation",50,0.7,0.8,"all",92,1,2
1,11,1,11,1,3,"0030",884,40,"post_fragmentation",50,0.7,0.8,"all",97,2,2
1,11,1,11,1,3,"0030",884,40,"post_fragmentation",50,0.7,0.8,"all",99,2,2
1,11,1,11,1,3,"0030",884,40,"post_fragmentation",50,0.7,0.8,"all",109,1,2
1,11,1,11,1,3,"0030",884,40,"post_fragmentation",50,0.7,0.8,"all",110,1,2
1,11,1,11,1,3,"0030",884,40,"post_fragmentation",50,0.7,0.8,"all",111,2,2
1,11,1,11,1,3,"0030",884,40,"post_fragmentation",50,0.7,0.8,"all",118,2,2
1,11,1,11,1,3,"0030",884,40,"post_fragmentation",50,0.7,0.8,"all",127,1,2
1,11,1,11,1,3,"0030",884,40,"post_fragmentation",50,0.7,0.8,"all",147,1,2
1,11,1,11,1,3,"0030",884,40,"post_fragmentation",50,0.7,0.8,"all",175,1,2
1,11,1,11,1,3,"0030",884,40,"post_fragmentation",50,0.7,0.8,"all",182,2,2
1,11,1,11,1,3,"0030",884,40,"post_fragmentation",50,0.7,0.8,"all",184,2,2
1,11,1,11,1,3,"0030",884,40,"post_fragmentation",50,0.7,0.8,"all",186,1,2
1,11,1,11,1,3,"0030",884,40,"post_fragmentation",50,0.7,0.8,"all",189,1,2
1,11,1,11,1,3,"0030",884,40,"post_fragmentation",50,0.7,0.8,"all",197,1,2
1,11,1,11,1,3,"0030",884,40,"post_fragmentation",50,0.7,0.8,"all",208,1,2
1,11,1,11,1,3,"0030",884,40,"post_fragmentation",50,0.7,0.8,"all",213,1,2
1,11,1,11,1,3,"0030",884,40,"post_fragmentation",50,0.7,0.8,"all",231,1,2
1,11,1,11,1,3,"0030",884,40,"post_fragmentation",50,0.7,0.8,"all",232,1,2
1,11,1,11,1,3,"0030",884,40,"post_fragmentation",50,0.7,0.8,"all",237,1,2
1,11,1,11,1,3,"0030",884,40,"post_fragmentation",50,0.7,0.8,"all",247,1,2
1,11,1,11,1,3,"0030",884,40,"post_fragmentation",50,0.7,0.8,"all",261,1,2
1,11,1,11,1,3,"0030",884,40,"post_fragmentation",50,0.7,0.8,"all",278,1,2
1,11,1,11,1,3,"0030",884,40,"post_fragmentation",50,0.7,0.8,"all",283,1,2
2,17,1,17,2,1,"0030",884,40,"post_fragmentation",50,0.7,0.8,"all",160,1,2
2,17,1,17,2,1,"0030",884,40,"post_fragmentation",50,0.7,0.8,"all",167,1,2
2,17,1,17,2,1,"0030",884,40,"post_fragmentation",50,0.7,0.8,"all",202,1,2
2,17,1,17,2,1,"0030",884,40,"post_fragmentation",50,0.7,0.8,"all",208,1,2
2,17,1,17,2,1,"0030",884,40,"post_fragmentation",50,0.7,0.8,"all",213,3,2
2,17,1,17,2,1,"0030",884,40,"post_fragmentation",50,0.7,0.8,"all",234,2,2
2,17,1,17,2,1,"0030",884,40,"post_fragmentation",50,0.7,0.8,"all",235,5,2
2,17,1,17,2,1,"0030",884,40,"post_fragmentation",50,0.7,0.8,"all",257,2,2
2,17,1,17,2,1,"0030",884,40,"post_fragmentation",50,0.7,0.8,"all",260,1,2
2,17,1,17,2,1,"0030",884,40,"post_fragmentation",50,0.7,0.8,"all",264,1,2
2,17,1,17,2,1,"0030",884,40,"post_fragmentation",50,0.7,0.8,"all",272,2,2
2,17,1,17,2,1,"0030",884,40,"post_fragmentation",50,0.7,0.8,"all",278,5,2
2,17,1,17,2,1,"0030",884,40,"post_fragmentation",50,0.7,0.8,"all",283,1,2
2,17,1,17,2,1,"0030",884,40,"post_fragmentation",50,0.7,0.8,"all",285,2,2
2,17,1,17,2,1,"0030",884,40,"post_fragmentation",50,0.7,0.8,"all",288,1,2
2,17,1,17,2,1,"0030",884,40,"post_fragmentation",50,0.7,0.8,"all",292,1,2
2,17,1,17,2,1,"0030",884,40,"post_fragmentation",50,0.7,0.8,"all",298,1,2
