sample_id,cell_id,x_loc,y_loc,patch_id,patch_size,sim_id,master_seed,step,step_label,grid_size,ac_amount,fragmentation,samp_method,species_id,n,replicate_num
1,2206,45,6,154,4,"0036",890,40,"post_fragmentation",50,0.7,0.8,"random",651,1,2
1,2206,45,6,154,4,"0036",890,40,"post_fragmentation",50,0.7,0.8,"random",656,1,2
1,2206,45,6,154,4,"0036",890,40,"post_fragmentation",50,0.7,0.8,"random",676,1,2
1,2206,45,6,154,4,"0036",890,40,"post_fragmentation",50,0.7,0.8,"random",677,1,2
1,2206,45,6,154,4,"0036",890,40,"post_fragmentation",50,0.7,0.8,"random",683,1,2
1,2206,45,6,154,4,"0036",890,40,"post_fragmentation",50,0.7,0.8,"random",695,3,2
1,2206,45,6,154,4,"0036",890,40,"post_fragmentation",50,0.7,0.8,"random",701,1,2
1,2206,45,6,154,4,"0036",890,40,"post_fragmentation",50,0.7,0.8,"random",702,1,2
1,2206,45,6,154,4,"0036",890,40,"post_fragmentation",50,0.7,0.8,"random",710,1,2
1,2206,45,6,154,4,"0036",890,40,"post_fragmentation",50,0.7,0.8,"random",726,1,2
1,2206,45,6,154,4,"0036",890,40,"post_fragmentation",50,0.7,0.8,"random",738,1,2
1,2206,45,6,154,4,"0036",890,40,"post_fragmentation",50,0.7,0.8,"random",741,1,2
1,2206,45,6,154,4,"0036",890,40,"post_fragmentation",50,0.7,0.8,"random",744,1,2
1,2206,45,6,154,4,"0036",890,40,"post_fragmentation",50,0.7,0.8,"random",745,1,2
1,2206,45,6,154,4,"0036",890,40,"post_fragmentation",50,0.7,0.8,"random",753,1,2
1,2206,45,6,154,4,"0036",890,40,"post_fragmentation",50,0.7,0.8,"random",764,2,2
1,2206,45,6,154,4,"0036",890,40,"post_fragmentation",50,0.7,0.8,"random",778,2,2
1,2206,45,6,154,4,"0036",890,40,"post_fragmentation",50,0.7,0.8,"random",790,1,2
1,2206,45,6,154,4,"0036",890,40,"post_fragmentation",50,0.7,0.8,"random",791,1,2
1,2206,45,6,154,4,"0036",890,40,"post_fragmentation",50,0.7,0.8,"random",802,1,2
1,2206,45,6,154,4,"0036",890,40,"post_fragmentation",50,0.7,0.8,"random",809,2,2
1,2206,45,6,154,4,"0036",890,40,"post_fragmentation",50,0.7,0.8,"random",828,1,2
1,2206,45,6,154,4,"0036",890,40,"post_fragmentation",50,0.7,0.8,"random",839,1,2
1,2206,45,6,154,4,"0036",890,40,"post_fragmentation",50,0.7,0.8,"random",846,1,2
1,2206,45,6,154,4,"0036",890,40,"post_fragmentation",50,0.7,0.8,"random",848,1,2
1,2206,45,6,154,4,"0036",890,40,"post_fragmentation",50,0.7,0.8,"random",856,1,2
1,2206,45,6,154,4,"0036",890,40,"post_fragmentation",50,0.7,0.8,"random",867,1,2
1,2206,45,6,154,4,"0036",890,40,"post_fragmentation",50,0.7,0.8,"random",868,1,2
1,2206,45,6,154,4,"0036",890,40,"post_fragmentation",50,0.7,0.8,"random",928,1,2
2,2162,44,12,147,16,"0036",890,40,"post_fragmentation",50,0.7,0.8,"random",833,1,2
2,2162,44,12,147,16,"0036",890,40,"post_fragmentation",50,0.7,0.8,"random",847,2,2
2,2162,44,12,147,16,"0036",890,40,"post_fragmentation",50,0.7,0.8,"random",861,2,2
2,2162,44,12,147,16,"0036",890,40,"post_fragmentation",50,0.7,0.8,"random",865,1,2
2,2162,44,12,147,16,"0036",890,40,"post_fragmentation",50,0.7,0.8,"random",869,1,2
2,2162,44,12,147,16,"0036",890,40,"post_fragmentation",50,0.7,0.8,"random",876,2,2
