sim_id,master_seed,grid_size,ac_amount,habitat,fragmentation,niche_breadth,edge_effect,dispersal,disp_dist,step,step_label,samp_method,sample_id,cell_id,x_loc,y_loc,patch_id,patch_size,species_id,n
93,166,50,0.7,1,NA,0.1,2,1,2,0,"start","all",1,1,1,1,1,2499,547,1
93,166,50,0.7,1,NA,0.1,2,1,2,0,"start","all",2,2,1,2,1,2499,406,1
93,166,50,0.7,1,NA,0.1,2,1,2,0,"start","all",2,2,1,2,1,2499,454,1
93,166,50,0.7,1,NA,0.1,2,1,2,0,"start","all",2,2,1,2,1,2499,483,1
93,166,50,0.7,1,NA,0.1,2,1,2,0,"start","all",2,2,1,2,1,2499,551,1
93,166,50,0.7,1,NA,0.1,2,1,2,0,"start","all",3,3,1,3,1,2499,NA,NA
93,166,50,0.7,1,NA,0.1,2,1,2,0,"start","all",4,4,1,4,1,2499,535,1
93,166,50,0.7,1,NA,0.1,2,1,2,0,"start","all",4,4,1,4,1,2499,559,1
93,166,50,0.7,1,NA,0.1,2,1,2,0,"start","all",5,5,1,5,1,2499,448,1
93,166,50,0.7,1,NA,0.1,2,1,2,0,"start","all",5,5,1,5,1,2499,502,1
93,166,50,0.7,1,NA,0.1,2,1,2,0,"start","all",6,6,1,6,1,2499,NA,NA
93,166,50,0.7,1,NA,0.1,2,1,2,0,"start","all",7,7,1,7,1,2499,525,1
93,166,50,0.7,1,NA,0.1,2,1,2,0,"start","all",7,7,1,7,1,2499,527,1
93,166,50,0.7,1,NA,0.1,2,1,2,0,"start","all",7,7,1,7,1,2499,631,1
93,166,50,0.7,1,NA,0.1,2,1,2,0,"start","all",8,8,1,8,1,2499,NA,NA
93,166,50,0.7,1,NA,0.1,2,1,2,0,"start","all",9,9,1,9,1,2499,519,1
93,166,50,0.7,1,NA,0.1,2,1,2,0,"start","all",9,9,1,9,1,2499,553,1
93,166,50,0.7,1,NA,0.1,2,1,2,0,"start","all",10,10,1,10,1,2499,NA,NA
93,166,50,0.7,1,NA,0.1,2,1,2,0,"start","all",11,11,1,11,1,2499,649,1
93,166,50,0.7,1,NA,0.1,2,1,2,0,"start","all",12,12,1,12,1,2499,451,1
93,166,50,0.7,1,NA,0.1,2,1,2,0,"start","all",12,12,1,12,1,2499,470,1
93,166,50,0.7,1,NA,0.1,2,1,2,0,"start","all",12,12,1,12,1,2499,589,1
93,166,50,0.7,1,NA,0.1,2,1,2,0,"start","all",12,12,1,12,1,2499,591,1
93,166,50,0.7,1,NA,0.1,2,1,2,0,"start","all",12,12,1,12,1,2499,606,1
93,166,50,0.7,1,NA,0.1,2,1,2,0,"start","all",13,13,1,13,1,2499,NA,NA
93,166,50,0.7,1,NA,0.1,2,1,2,0,"start","all",14,14,1,14,1,2499,564,1
93,166,50,0.7,1,NA,0.1,2,1,2,0,"start","all",14,14,1,14,1,2499,583,1
93,166,50,0.7,1,NA,0.1,2,1,2,0,"start","all",14,14,1,14,1,2499,601,1
93,166,50,0.7,1,NA,0.1,2,1,2,0,"start","all",15,15,1,15,1,2499,555,1
93,166,50,0.7,1,NA,0.1,2,1,2,0,"start","all",16,16,1,16,1,2499,552,1
93,166,50,0.7,1,NA,0.1,2,1,2,0,"start","all",17,17,1,17,1,2499,639,1
93,166,50,0.7,1,NA,0.1,2,1,2,0,"start","all",18,18,1,18,1,2499,491,1
93,166,50,0.7,1,NA,0.1,2,1,2,0,"start","all",19,19,1,19,1,2499,NA,NA
93,166,50,0.7,1,NA,0.1,2,1,2,0,"start","all",20,20,1,20,1,2499,584,1
93,166,50,0.7,1,NA,0.1,2,1,2,0,"start","all",20,20,1,20,1,2499,633,1
93,166,50,0.7,1,NA,0.1,2,1,2,0,"start","all",21,21,1,21,1,2499,452,1
93,166,50,0.7,1,NA,0.1,2,1,2,0,"start","all",21,21,1,21,1,2499,480,1
93,166,50,0.7,1,NA,0.1,2,1,2,0,"start","all",22,22,1,22,1,2499,499,1
93,166,50,0.7,1,NA,0.1,2,1,2,0,"start","all",22,22,1,22,1,2499,507,1
93,166,50,0.7,1,NA,0.1,2,1,2,0,"start","all",22,22,1,22,1,2499,578,1
93,166,50,0.7,1,NA,0.1,2,1,2,0,"start","all",22,22,1,22,1,2499,593,1
93,166,50,0.7,1,NA,0.1,2,1,2,0,"start","all",23,23,1,23,1,2499,NA,NA
93,166,50,0.7,1,NA,0.1,2,1,2,0,"start","all",24,24,1,24,1,2499,479,1
93,166,50,0.7,1,NA,0.1,2,1,2,0,"start","all",24,24,1,24,1,2499,573,1
93,166,50,0.7,1,NA,0.1,2,1,2,0,"start","all",25,25,1,25,1,2499,NA,NA
93,166,50,0.7,1,NA,0.1,2,1,2,0,"start","all",26,26,1,26,1,2499,448,1
93,166,50,0.7,1,NA,0.1,2,1,2,0,"start","all",27,27,1,27,1,2499,507,1
93,166,50,0.7,1,NA,0.1,2,1,2,0,"start","all",27,27,1,27,1,2499,547,1
93,166,50,0.7,1,NA,0.1,2,1,2,0,"start","all",28,28,1,28,1,2499,513,1
93,166,50,0.7,1,NA,0.1,2,1,2,0,"start","all",28,28,1,28,1,2499,531,1
93,166,50,0.7,1,NA,0.1,2,1,2,0,"start","all",29,29,1,29,1,2499,498,1
93,166,50,0.7,1,NA,0.1,2,1,2,0,"start","all",29,29,1,29,1,2499,559,1
93,166,50,0.7,1,NA,0.1,2,1,2,0,"start","all",30,30,1,30,1,2499,501,1
93,166,50,0.7,1,NA,0.1,2,1,2,0,"start","all",30,30,1,30,1,2499,520,1
93,166,50,0.7,1,NA,0.1,2,1,2,0,"start","all",31,31,1,31,1,2499,NA,NA
93,166,50,0.7,1,NA,0.1,2,1,2,0,"start","all",32,32,1,32,1,2499,436,1
93,166,50,0.7,1,NA,0.1,2,1,2,0,"start","all",32,32,1,32,1,2499,503,1
93,166,50,0.7,1,NA,0.1,2,1,2,0,"start","all",33,33,1,33,1,2499,542,1
93,166,50,0.7,1,NA,0.1,2,1,2,0,"start","all",34,34,1,34,1,2499,NA,NA
93,166,50,0.7,1,NA,0.1,2,1,2,0,"start","all",35,35,1,35,1,2499,NA,NA
93,166,50,0.7,1,NA,0.1,2,1,2,0,"start","all",36,36,1,36,1,2499,374,1
93,166,50,0.7,1,NA,0.1,2,1,2,0,"start","all",36,36,1,36,1,2499,462,1
93,166,50,0.7,1,NA,0.1,2,1,2,0,"start","all",37,37,1,37,1,2499,477,1
93,166,50,0.7,1,NA,0.1,2,1,2,0,"start","all",38,38,1,38,1,2499,398,1
93,166,50,0.7,1,NA,0.1,2,1,2,0,"start","all",39,39,1,39,1,2499,369,1
