sample_id,cell_id,x_loc,y_loc,patch_id,patch_size,sim_id,master_seed,step,step_label,grid_size,ac_amount,fragmentation,samp_method,species_id,n,replicate_num
1,2433,49,33,3,6,9,121,40,post_fragmentation,50,0.5,0.8,random,413,1,1
1,2433,49,33,3,6,9,121,40,post_fragmentation,50,0.5,0.8,random,468,2,1
1,2433,49,33,3,6,9,121,40,post_fragmentation,50,0.5,0.8,random,471,1,1
1,2433,49,33,3,6,9,121,40,post_fragmentation,50,0.5,0.8,random,475,1,1
1,2433,49,33,3,6,9,121,40,post_fragmentation,50,0.5,0.8,random,520,2,1
1,2433,49,33,3,6,9,121,40,post_fragmentation,50,0.5,0.8,random,523,1,1
1,2433,49,33,3,6,9,121,40,post_fragmentation,50,0.5,0.8,random,524,3,1
1,2433,49,33,3,6,9,121,40,post_fragmentation,50,0.5,0.8,random,542,1,1
1,2433,49,33,3,6,9,121,40,post_fragmentation,50,0.5,0.8,random,544,1,1
1,2433,49,33,3,6,9,121,40,post_fragmentation,50,0.5,0.8,random,585,1,1
1,2433,49,33,3,6,9,121,40,post_fragmentation,50,0.5,0.8,random,592,2,1
1,2433,49,33,3,6,9,121,40,post_fragmentation,50,0.5,0.8,random,601,2,1
1,2433,49,33,3,6,9,121,40,post_fragmentation,50,0.5,0.8,random,602,1,1
1,2433,49,33,3,6,9,121,40,post_fragmentation,50,0.5,0.8,random,625,1,1
1,2433,49,33,3,6,9,121,40,post_fragmentation,50,0.5,0.8,random,626,4,1
1,2433,49,33,3,6,9,121,40,post_fragmentation,50,0.5,0.8,random,629,1,1
1,2433,49,33,3,6,9,121,40,post_fragmentation,50,0.5,0.8,random,633,1,1
1,2433,49,33,3,6,9,121,40,post_fragmentation,50,0.5,0.8,random,635,2,1
1,2433,49,33,3,6,9,121,40,post_fragmentation,50,0.5,0.8,random,669,1,1
1,2433,49,33,3,6,9,121,40,post_fragmentation,50,0.5,0.8,random,675,3,1
1,2433,49,33,3,6,9,121,40,post_fragmentation,50,0.5,0.8,random,690,1,1
1,2433,49,33,3,6,9,121,40,post_fragmentation,50,0.5,0.8,random,712,1,1
2,1775,36,25,108,1,9,121,40,post_fragmentation,50,0.5,0.8,random,552,1,1
2,1775,36,25,108,1,9,121,40,post_fragmentation,50,0.5,0.8,random,560,1,1
2,1775,36,25,108,1,9,121,40,post_fragmentation,50,0.5,0.8,random,564,5,1
