sample_id,cell_id,x_loc,y_loc,patch_id,patch_size,sim_id,master_seed,step,step_label,grid_size,ac_amount,fragmentation,samp_method,species_id,n,replicate_num
1,3,1,3,1,1,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",500,1,2
1,3,1,3,1,1,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",542,1,2
1,3,1,3,1,1,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",543,1,2
1,3,1,3,1,1,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",555,1,2
1,3,1,3,1,1,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",564,1,2
1,3,1,3,1,1,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",569,1,2
1,3,1,3,1,1,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",570,1,2
1,3,1,3,1,1,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",584,1,2
1,3,1,3,1,1,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",599,1,2
1,3,1,3,1,1,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",600,1,2
1,3,1,3,1,1,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",601,1,2
1,3,1,3,1,1,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",611,1,2
1,3,1,3,1,1,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",613,3,2
1,3,1,3,1,1,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",629,1,2
1,3,1,3,1,1,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",650,2,2
1,3,1,3,1,1,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",652,5,2
1,3,1,3,1,1,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",658,2,2
1,3,1,3,1,1,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",659,1,2
1,3,1,3,1,1,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",669,6,2
1,3,1,3,1,1,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",675,1,2
1,3,1,3,1,1,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",700,2,2
1,3,1,3,1,1,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",710,1,2
1,3,1,3,1,1,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",723,1,2
1,3,1,3,1,1,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",725,1,2
1,3,1,3,1,1,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",794,1,2
1,3,1,3,1,1,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",801,2,2
2,13,1,13,2,5,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",11,1,2
2,13,1,13,2,5,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",56,1,2
2,13,1,13,2,5,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",79,1,2
2,13,1,13,2,5,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",138,3,2
2,13,1,13,2,5,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",166,1,2
2,13,1,13,2,5,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",175,2,2
2,13,1,13,2,5,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",177,4,2
2,13,1,13,2,5,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",181,1,2
2,13,1,13,2,5,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",183,2,2
2,13,1,13,2,5,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",184,1,2
2,13,1,13,2,5,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",188,1,2
2,13,1,13,2,5,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",195,1,2
2,13,1,13,2,5,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",197,3,2
2,13,1,13,2,5,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",207,1,2
2,13,1,13,2,5,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",211,1,2
2,13,1,13,2,5,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",214,3,2
2,13,1,13,2,5,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",215,1,2
2,13,1,13,2,5,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",218,1,2
2,13,1,13,2,5,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",226,3,2
2,13,1,13,2,5,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",236,1,2
2,13,1,13,2,5,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",238,2,2
2,13,1,13,2,5,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",243,1,2
2,13,1,13,2,5,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",254,1,2
2,13,1,13,2,5,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",257,1,2
2,13,1,13,2,5,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",268,1,2
2,13,1,13,2,5,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",309,1,2
2,13,1,13,2,5,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",341,2,2
3,17,1,17,3,4,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",8,1,2
3,17,1,17,3,4,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",9,1,2
3,17,1,17,3,4,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",13,1,2
3,17,1,17,3,4,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",26,1,2
3,17,1,17,3,4,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",27,1,2
3,17,1,17,3,4,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",28,1,2
3,17,1,17,3,4,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",48,1,2
3,17,1,17,3,4,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",63,2,2
3,17,1,17,3,4,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",75,1,2
3,17,1,17,3,4,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",81,2,2
3,17,1,17,3,4,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",97,2,2
3,17,1,17,3,4,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",100,3,2
3,17,1,17,3,4,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",103,1,2
3,17,1,17,3,4,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",122,1,2
3,17,1,17,3,4,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",125,1,2
3,17,1,17,3,4,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",126,1,2
3,17,1,17,3,4,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",127,2,2
3,17,1,17,3,4,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",134,1,2
3,17,1,17,3,4,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",138,1,2
3,17,1,17,3,4,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",139,1,2
3,17,1,17,3,4,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",145,2,2
3,17,1,17,3,4,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",151,1,2
3,17,1,17,3,4,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",156,1,2
3,17,1,17,3,4,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",157,2,2
3,17,1,17,3,4,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",168,1,2
3,17,1,17,3,4,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",171,1,2
3,17,1,17,3,4,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",177,1,2
3,17,1,17,3,4,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",191,1,2
3,17,1,17,3,4,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",195,1,2
3,17,1,17,3,4,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",211,2,2
3,17,1,17,3,4,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",214,1,2
3,17,1,17,3,4,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",218,1,2
3,17,1,17,3,4,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",232,1,2
3,17,1,17,3,4,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",236,1,2
4,33,1,33,5,1,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",134,1,2
4,33,1,33,5,1,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",137,3,2
4,33,1,33,5,1,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",149,3,2
4,33,1,33,5,1,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",163,2,2
4,33,1,33,5,1,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",164,1,2
4,33,1,33,5,1,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",177,1,2
4,33,1,33,5,1,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",180,5,2
4,33,1,33,5,1,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",181,1,2
4,33,1,33,5,1,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",183,3,2
4,33,1,33,5,1,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",205,1,2
4,33,1,33,5,1,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",206,1,2
4,33,1,33,5,1,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",212,3,2
4,33,1,33,5,1,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",216,1,2
4,33,1,33,5,1,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",224,1,2
4,33,1,33,5,1,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",225,1,2
4,33,1,33,5,1,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",229,2,2
4,33,1,33,5,1,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",230,1,2
4,33,1,33,5,1,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",232,1,2
4,33,1,33,5,1,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",237,1,2
4,33,1,33,5,1,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",241,2,2
4,33,1,33,5,1,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",256,1,2
4,33,1,33,5,1,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",284,1,2
4,33,1,33,5,1,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",302,1,2
5,35,1,35,6,2,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",137,1,2
5,35,1,35,6,2,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",181,1,2
5,35,1,35,6,2,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",197,1,2
5,35,1,35,6,2,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",204,1,2
5,35,1,35,6,2,"0018",872,40,"post_fragmentation",50,0.7,0.8,"chessboard",205,2,2
