sim_id,master_seed,grid_size,fragmentation,ac_amount,habitat,niche_breadth,edge_effect,dispersal,dispersal_dist,step,step_label,samp_method,sample_id,cell_id,x_loc,y_loc,patch_id,patch_size,species_id,n
55,545,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",1,76,2,26,1,2499,217,1
55,545,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",2,857,18,7,1,2499,388,1
55,545,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",3,1010,21,10,1,2499,577,1
55,545,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",3,1010,21,10,1,2499,633,1
55,545,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",3,1010,21,10,1,2499,684,1
55,545,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",4,630,13,30,1,2499,240,1
55,545,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",4,630,13,30,1,2499,267,1
55,545,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",5,499,10,49,1,2499,NA,NA
55,545,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",6,1288,26,38,1,2499,NA,NA
55,545,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",7,2232,45,32,1,2499,207,1
55,545,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",7,2232,45,32,1,2499,276,1
55,545,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",7,2232,45,32,1,2499,323,1
55,545,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",7,2232,45,32,1,2499,360,1
55,545,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",7,2232,45,32,1,2499,381,1
55,545,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",7,2232,45,32,1,2499,388,1
55,545,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",7,2232,45,32,1,2499,400,1
55,545,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",8,878,18,28,1,2499,NA,NA
55,545,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",9,686,14,36,1,2499,95,1
55,545,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",9,686,14,36,1,2499,208,1
55,545,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",9,686,14,36,1,2499,226,1
55,545,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",10,367,8,17,1,2499,NA,NA
55,545,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",11,457,10,7,1,2499,419,1
55,545,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",11,457,10,7,1,2499,442,1
55,545,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",12,36,1,36,1,2499,53,1
55,545,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",12,36,1,36,1,2499,72,1
55,545,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",12,36,1,36,1,2499,135,1
55,545,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",12,36,1,36,1,2499,205,1
55,545,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",13,449,9,49,1,2499,101,1
55,545,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",13,449,9,49,1,2499,195,1
55,545,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",13,449,9,49,1,2499,251,1
55,545,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",14,1677,34,27,1,2499,NA,NA
55,545,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",15,1601,33,1,1,2499,593,1
55,545,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",15,1601,33,1,1,2499,682,1
55,545,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",16,882,18,32,1,2499,NA,NA
55,545,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",17,2430,49,30,1,2499,104,1
55,545,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",17,2430,49,30,1,2499,269,1
55,545,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",18,1227,25,27,1,2499,484,1
55,545,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",19,2257,46,7,1,2499,NA,NA
55,545,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",20,618,13,18,1,2499,424,1
55,545,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",20,618,13,18,1,2499,561,1
55,545,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",21,1395,28,45,1,2499,NA,NA
55,545,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",22,625,13,25,1,2499,395,1
55,545,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",22,625,13,25,1,2499,428,1
55,545,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",23,178,4,28,1,2499,242,1
55,545,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",24,612,13,12,1,2499,NA,NA
55,545,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",25,1718,35,18,1,2499,639,1
55,545,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",25,1718,35,18,1,2499,661,1
55,545,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",25,1718,35,18,1,2499,680,1
55,545,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",25,1718,35,18,1,2499,699,1
55,545,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",26,280,6,30,1,2499,268,1
55,545,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",27,1145,23,45,1,2499,NA,NA
55,545,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",28,74,2,24,1,2499,269,1
55,545,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",28,74,2,24,1,2499,271,1
55,545,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",29,1468,30,18,1,2499,604,1
55,545,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",29,1468,30,18,1,2499,616,1
55,545,50,NA,0.7,0.15,0.1,1,1,2,0,"start","random",30,2358,48,8,1,2499,506,1
55,545,50,NA,0.7,0.15,0.1,1,1,2,40,"pre_fragmentation","random",1,422,9,22,1,2499,247,1
55,545,50,NA,0.7,0.15,0.1,1,1,2,40,"pre_fragmentation","random",1,422,9,22,1,2499,275,1
55,545,50,NA,0.7,0.15,0.1,1,1,2,40,"pre_fragmentation","random",1,422,9,22,1,2499,277,1
55,545,50,NA,0.7,0.15,0.1,1,1,2,40,"pre_fragmentation","random",1,422,9,22,1,2499,286,2
55,545,50,NA,0.7,0.15,0.1,1,1,2,40,"pre_fragmentation","random",1,422,9,22,1,2499,327,3
55,545,50,NA,0.7,0.15,0.1,1,1,2,40,"pre_fragmentation","random",1,422,9,22,1,2499,332,1
55,545,50,NA,0.7,0.15,0.1,1,1,2,40,"pre_fragmentation","random",1,422,9,22,1,2499,354,1
55,545,50,NA,0.7,0.15,0.1,1,1,2,40,"pre_fragmentation","random",1,422,9,22,1,2499,371,1
55,545,50,NA,0.7,0.15,0.1,1,1,2,40,"pre_fragmentation","random",1,422,9,22,1,2499,373,1
55,545,50,NA,0.7,0.15,0.1,1,1,2,40,"pre_fragmentation","random",1,422,9,22,1,2499,375,1
55,545,50,NA,0.7,0.15,0.1,1,1,2,40,"pre_fragmentation","random",1,422,9,22,1,2499,384,2
55,545,50,NA,0.7,0.15,0.1,1,1,2,40,"pre_fragmentation","random",1,422,9,22,1,2499,385,3
55,545,50,NA,0.7,0.15,0.1,1,1,2,40,"pre_fragmentation","random",1,422,9,22,1,2499,387,3
55,545,50,NA,0.7,0.15,0.1,1,1,2,40,"pre_fragmentation","random",1,422,9,22,1,2499,388,2
55,545,50,NA,0.7,0.15,0.1,1,1,2,40,"pre_fragmentation","random",1,422,9,22,1,2499,399,1
55,545,50,NA,0.7,0.15,0.1,1,1,2,40,"pre_fragmentation","random",1,422,9,22,1,2499,407,2
55,545,50,NA,0.7,0.15,0.1,1,1,2,40,"pre_fragmentation","random",1,422,9,22,1,2499,410,2
55,545,50,NA,0.7,0.15,0.1,1,1,2,40,"pre_fragmentation","random",1,422,9,22,1,2499,411,1
55,545,50,NA,0.7,0.15,0.1,1,1,2,40,"pre_fragmentation","random",1,422,9,22,1,2499,417,1
55,545,50,NA,0.7,0.15,0.1,1,1,2,40,"pre_fragmentation","random",1,422,9,22,1,2499,419,1
55,545,50,NA,0.7,0.15,0.1,1,1,2,40,"pre_fragmentation","random",1,422,9,22,1,2499,425,1
55,545,50,NA,0.7,0.15,0.1,1,1,2,40,"pre_fragmentation","random",1,422,9,22,1,2499,434,1
55,545,50,NA,0.7,0.15,0.1,1,1,2,40,"pre_fragmentation","random",1,422,9,22,1,2499,451,1
55,545,50,NA,0.7,0.15,0.1,1,1,2,40,"pre_fragmentation","random",2,1342,27,42,1,2499,344,1
55,545,50,NA,0.7,0.15,0.1,1,1,2,40,"pre_fragmentation","random",2,1342,27,42,1,2499,361,1
55,545,50,NA,0.7,0.15,0.1,1,1,2,40,"pre_fragmentation","random",2,1342,27,42,1,2499,370,1
55,545,50,NA,0.7,0.15,0.1,1,1,2,40,"pre_fragmentation","random",2,1342,27,42,1,2499,383,3
55,545,50,NA,0.7,0.15,0.1,1,1,2,40,"pre_fragmentation","random",2,1342,27,42,1,2499,395,2
55,545,50,NA,0.7,0.15,0.1,1,1,2,40,"pre_fragmentation","random",2,1342,27,42,1,2499,396,2
55,545,50,NA,0.7,0.15,0.1,1,1,2,40,"pre_fragmentation","random",2,1342,27,42,1,2499,406,1
55,545,50,NA,0.7,0.15,0.1,1,1,2,40,"pre_fragmentation","random",2,1342,27,42,1,2499,414,1
55,545,50,NA,0.7,0.15,0.1,1,1,2,40,"pre_fragmentation","random",2,1342,27,42,1,2499,416,4
55,545,50,NA,0.7,0.15,0.1,1,1,2,40,"pre_fragmentation","random",2,1342,27,42,1,2499,418,1
55,545,50,NA,0.7,0.15,0.1,1,1,2,40,"pre_fragmentation","random",2,1342,27,42,1,2499,440,1
55,545,50,NA,0.7,0.15,0.1,1,1,2,40,"pre_fragmentation","random",2,1342,27,42,1,2499,444,1
55,545,50,NA,0.7,0.15,0.1,1,1,2,40,"pre_fragmentation","random",2,1342,27,42,1,2499,459,1
55,545,50,NA,0.7,0.15,0.1,1,1,2,40,"pre_fragmentation","random",2,1342,27,42,1,2499,461,2
55,545,50,NA,0.7,0.15,0.1,1,1,2,40,"pre_fragmentation","random",2,1342,27,42,1,2499,463,1
55,545,50,NA,0.7,0.15,0.1,1,1,2,40,"pre_fragmentation","random",2,1342,27,42,1,2499,465,3
55,545,50,NA,0.7,0.15,0.1,1,1,2,40,"pre_fragmentation","random",2,1342,27,42,1,2499,472,1
55,545,50,NA,0.7,0.15,0.1,1,1,2,40,"pre_fragmentation","random",2,1342,27,42,1,2499,473,6
